"No","CVE","Description","CVSSv3","Severity","Published","References","AdvisoryIDs","AdvisoryCount"
"1","CVE-2004-0813","Unknown vulnerability in the SG_IO functionality in ide-cd allows local users to bypass read-only access and perform unauthorized write and erase operations.","2.1","LOW","2004-12-31","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://lkml.org/lkml/2004/7/30/147","VCDSA23353","1"
"2","CVE-2005-2090","Jakarta Tomcat 5.0.19 (Coyote/1.1) and Tomcat 4.1.24 (Coyote/1.0) allows remote attackers to poison the web cache, bypass web application firewall protection, and conduct XSS attacks via an HTTP request with both a ""Transfer-Encoding: chunked"" header and a Content-Length header, which causes Tomcat to incorrectly handle and forward the body of the request in a way that causes the receiving server to process it as a separate HTTP request, aka ""HTTP Request Smuggling.""","4.3","MEDIUM","2005-07-05","http://community.ca.com/blogs/casecurityresponseblog/archive/2009/01/23.aspx; http://docs.info.apple.com/article.html?artnum=306172; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c01178795","VCDSA23355","1"
"3","CVE-2005-3055","Linux kernel 2.6.8 to 2.6.14-rc2 allows local users to cause a denial of service (kernel OOPS) via a userspace process that issues a USB Request Block (URB) to a USB device and terminates before the URB is finished, which leads to a stale pointer reference.","2.1","LOW","2005-09-26","http://marc.info/?l=linux-kernel&m=112766129313883; http://secunia.com/advisories/17826; http://secunia.com/advisories/17917","VCDSA23352","1"
"4","CVE-2005-3273","The rose_rt_ioctl function in rose_route.c for Radionet Open Source Environment (ROSE) in Linux 2.6 kernels before 2.6.12, and 2.4 before 2.4.29, does not properly verify the ndigis argument for a new route, which allows attackers to trigger array out-of-bounds errors with a large number of digipeats.","5.0","MEDIUM","2005-10-21","http://linux.bkbits.net:8080/linux-2.4/cset%4041e2cf515TpixcVQ8q8HvQvCv9E6zA; http://linux.bkbits.net:8080/linux-2.6/cset%40423114bcdthRtmtdS6MsZiBVvteGCg; http://lkml.org/lkml/2005/5/23/169","VCDSA23352","1"
"5","CVE-2005-4268","Buffer overflow in cpio 2.6-8.FC4 on 64-bit platforms, when creating a cpio archive, allows local users to cause a denial of service (crash) and possibly execute arbitrary code via a file whose size is represented by more than 8 digits.","3.7","LOW","2005-12-15","ftp://ftp.freebsd.org/pub/FreeBSD/CERT/advisories/FreeBSD-SA-06:03.cpio.asc; http://frontal1.mandriva.com/security/advisories?name=MDKSA-2005:237; http://lists.suse.com/archive/suse-security-announce/2006-May/0004.html","VCDSA23411","1"
"6","CVE-2006-1056","The Linux kernel before 2.6.16.9 and the FreeBSD kernel, when running on AMD64 and other 7th and 8th generation AuthenticAMD processors, only save/restore the FOP, FIP, and FDP x87 registers in FXSAVE/FXRSTOR when an exception is pending, which allows one process to determine portions of the state of floating point instructions of other processes, which can be leveraged to obtain sensitive information such as cryptographic keys. NOTE: this is the documented behavior of AMD64 processors, but it is inconsistent with Intel processors in a security-relevant fashion that was not addressed by the kernels.","2.1","LOW","2006-04-20","ftp://ftp.freebsd.org/pub/FreeBSD/CERT/advisories/FreeBSD-SA-06:14.fpu.asc; http://kb.vmware.com/kb/2533126; http://kernel.org/pub/linux/kernel/v2.6/ChangeLog-2.6.16.9","VCDSA23352","1"
"7","CVE-2006-1174","useradd in shadow-utils before 4.0.3, and possibly other versions before 4.0.8, does not provide a required argument to the open function when creating a new user mailbox, which causes the mailbox to be created with unpredictable permissions and possibly allows attackers to read or modify the mailbox.","3.7","LOW","2006-05-28","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://cvs.pld.org.pl/shadow/NEWS?rev=1.109; http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html","VCDSA23353","1"
"8","CVE-2006-1342","net/ipv4/af_inet.c in Linux kernel 2.4 does not clear sockaddr_in.sin_zero before returning IPv4 socket names from the (1) getsockname, (2) getpeername, and (3) accept functions, which allows local users to obtain portions of potentially sensitive memory.","2.1","LOW","2006-03-21","http://marc.info/?l=linux-netdev&m=114148078223594&w=2; http://secunia.com/advisories/19357; http://secunia.com/advisories/20398","VCDSA23352","1"
"9","CVE-2006-1343","net/ipv4/netfilter/ip_conntrack_core.c in Linux kernel 2.4 and 2.6, and possibly net/ipv4/netfilter/nf_conntrack_l3proto_ipv4.c in 2.6, does not clear sockaddr_in.sin_zero before returning IPv4 socket names from the getsockopt function with SO_ORIGINAL_DST, which allows local users to obtain portions of potentially sensitive memory.","2.1","LOW","2006-03-21","http://marc.info/?l=linux-netdev&m=114148078223594&w=2; http://secunia.com/advisories/19357; http://secunia.com/advisories/19955","VCDSA23352","1"
"10","CVE-2006-1721","digestmd5.c in the CMU Cyrus Simple Authentication and Security Layer (SASL) library 2.1.18, and possibly other versions before 2.1.21, allows remote unauthenticated attackers to cause a denial of service (segmentation fault) via malformed inputs in DIGEST-MD5 negotiation.","2.6","LOW","2006-04-11","ftp://patches.sgi.com/support/free/security/advisories/20070901-01-P.asc; http://asg.web.cmu.edu/archive/message.php?mailbox=archive.cyrus-sasl&msg=7775; http://labs.musecurity.com/advisories/MU-200604-01.txt","VCDSA23372","1"
